no_data,no_pasien,sig_mean,sig_var,sig_sd,sig_kurt,sig_skew,sig_centroid,sig_specent,psd_mean,psd_var,psd_sd,psd_kurt,psd_skew,rat_delta,rat_theta,rat_alpha,rat_beta,kelas
16,1,6.73E-07,1.90E-10,1.38E-05,-0.13314666,-0.061671553,11.63139712,0.687588478,-122.9713046,83.35939162,9.130136451,0.168152003,0.324519288,0.442964147,0.175036935,0.153265351,0.228733566,0
17,1,-1.34E-07,1.30E-09,3.61E-05,6.999312649,1.86682568,6.400906751,0.632184522,-120.3592734,119.880163,10.94898,0.373144188,0.787929308,0.573369726,0.206091122,0.101315635,0.119223517,0
18,1,-2.88E-07,6.22E-10,2.49E-05,10.83177292,2.669483298,10.13026346,0.571648556,-119.3189274,71.70253794,8.467735113,1.096870199,0.846427592,0.562660134,0.10129087,0.105254444,0.230794552,0
19,1,-7.95E-07,6.87E-10,2.62E-05,2.493243566,0.739144488,10.28631871,0.588947652,-119.3124772,95.79043397,9.787258757,1.48906446,0.424926971,0.567387723,0.138851163,0.092911677,0.200849438,0
20,1,-9.64E-07,6.31E-10,2.51E-05,1.732249518,-0.274484431,8.007836448,0.636731215,-119.8051821,69.30556705,8.32499652,1.538259152,0.317910465,0.514917797,0.205959458,0.089132591,0.189990154,0
21,1,2.02E-06,1.64E-09,4.05E-05,2.979956136,1.219251197,7.016885731,0.635916315,-119.3894,113.7089582,10.66344026,0.43445533,0.492271105,0.573048605,0.184864576,0.116471797,0.125615022,0
22,1,2.91E-07,8.25E-10,2.87E-05,2.364787826,1.101460245,9.800127375,0.64591173,-116.1458681,75.56653236,8.692901262,0.886315089,0.562356936,0.50558439,0.171348395,0.114658132,0.208409083,0
23,1,-6.89E-07,9.44E-10,3.07E-05,3.782331371,0.896119291,13.71848641,0.634790847,-117.6433912,77.53762946,8.805545381,0.658993006,0.778210401,0.508703935,0.164732939,0.106966102,0.219597024,0
24,1,5.58E-07,4.66E-10,2.16E-05,-0.644479285,0.066363884,11.13320522,0.648560517,-119.6922298,62.68693747,7.917508287,1.517013934,0.409853739,0.461116102,0.147306963,0.125079158,0.266497777,0
25,1,-9.83E-07,1.07E-09,3.27E-05,1.919393277,1.124008431,10.55519785,0.606555977,-118.5314558,90.44445549,9.510228993,0.962504349,0.812914154,0.556184598,0.132775921,0.113091754,0.197947727,0
26,1,-1.98E-07,6.71E-10,2.59E-05,5.338320766,1.619081886,10.63727614,0.62674438,-121.555405,126.4171666,11.24353888,0.345547293,0.621662671,0.550483859,0.189062311,0.096262675,0.164191155,0
27,1,2.74E-06,8.36E-10,2.89E-05,0.738451658,0.548445938,6.943781199,0.57948471,-123.6116436,97.84250661,9.891537121,1.050347834,0.496252875,0.623908768,0.141247704,0.101771969,0.133071559,0
28,1,-2.21E-06,3.02E-10,1.74E-05,3.007162476,-1.319869369,6.614228225,0.669526443,-124.2696334,76.96074897,8.772727567,0.054607193,0.389931457,0.49961571,0.158856531,0.155279451,0.186248308,0
29,1,-5.26E-08,3.82E-10,1.95E-05,11.24141039,2.404992691,9.598783076,0.703093857,-119.4458465,98.70106842,9.934841137,-0.165618277,0.710658403,0.452173147,0.221680488,0.146997359,0.179149007,0
30,1,-1.00E-07,2.83E-10,1.68E-05,5.556241609,1.325760595,10.16767171,0.67356304,-124.0205185,89.57859529,9.464596943,0.58532759,0.665713357,0.494563367,0.173535623,0.146752266,0.185148744,0
31,1,3.17E-07,4.65E-10,2.16E-05,0.272623249,-0.226834003,9.364997897,0.65095244,-122.7749617,130.0980484,11.40605315,0.29952594,0.296019834,0.528158153,0.165640497,0.13214852,0.17405283,0
32,1,-4.28E-07,5.69E-10,2.39E-05,7.955679294,1.401782936,9.875379455,0.646609678,-120.4218109,132.0471952,11.49117902,0.674359602,0.440746848,0.550096785,0.16884277,0.131990931,0.149069515,0
33,1,-2.44E-07,9.92E-10,3.15E-05,2.900584196,1.261352495,7.736324952,0.634631631,-117.5749237,98.78482588,9.939055583,0.270372764,0.824683699,0.547926647,0.165035328,0.118568193,0.168469831,0
34,1,7.91E-07,5.93E-10,2.43E-05,1.504961899,0.689886112,9.190745065,0.626585114,-121.2064738,82.06068133,9.058735084,0.761844576,0.855283887,0.55110178,0.173684348,0.104665131,0.170548741,0
35,1,-6.17E-07,3.38E-10,1.84E-05,0.17462942,0.016524373,10.58664811,0.647931082,-121.4049717,73.56800689,8.577179425,1.407870514,0.776583769,0.506808431,0.14325457,0.140172559,0.20976444,0
36,1,-7.46E-07,2.86E-10,1.69E-05,0.791463784,-0.153367555,10.0557332,0.636693707,-121.4703667,70.87454422,8.418702051,1.396289828,0.368597484,0.507400062,0.149992638,0.119468597,0.223138703,0
37,1,1.42E-06,7.91E-10,2.81E-05,-0.247201795,0.053708731,9.475960703,0.62325392,-119.4895681,81.91915174,9.050919939,1.854605609,0.589778944,0.538327021,0.137635424,0.122933264,0.201104292,0
38,1,-7.16E-07,6.28E-10,2.51E-05,3.459119605,0.337225876,8.307665645,0.648074056,-120.1508117,93.64094484,9.676825142,1.009658351,-0.021012544,0.511543159,0.175850063,0.115991173,0.196615605,0
39,1,4.90E-07,1.16E-09,3.40E-05,2.530319342,0.687155248,8.515609633,0.595953778,-119.7832414,110.3498588,10.5047541,1.459982092,0.833338164,0.574588229,0.161183577,0.087801737,0.176426458,0
40,1,8.36E-08,5.94E-10,2.44E-05,0.061147281,0.326422901,10.588734,0.631358134,-121.2112927,87.44915608,9.35142535,1.58995796,0.288829933,0.522887583,0.12522252,0.140817885,0.211072012,0
41,1,1.41E-06,8.68E-10,2.95E-05,0.541246361,-0.371674666,7.717045863,0.617347432,-121.2247009,65.09953222,8.068428114,2.827183349,0.715037363,0.548110963,0.174170161,0.09370576,0.184013115,0
42,1,-2.59E-06,1.17E-09,3.42E-05,1.18562378,0.662694872,7.141586105,0.583214955,-121.2164801,78.39596514,8.8541496,1.332293593,0.791412406,0.604292908,0.143099677,0.096704669,0.155902746,0
43,1,1.22E-06,1.47E-09,3.83E-05,2.012767912,0.432546738,6.598372895,0.592227117,-121.4595143,125.0722212,11.18356925,0.274641394,0.587837074,0.628599249,0.147193468,0.11364668,0.110560602,0
44,1,9.06E-08,6.86E-10,2.62E-05,2.57582461,0.185798306,7.634633332,0.596679097,-123.0101462,96.78093182,9.837730014,0.528340591,0.480865939,0.595912377,0.161773518,0.095291051,0.147023054,0
45,1,-8.76E-07,5.99E-10,2.45E-05,4.872533337,1.212386627,10.16310221,0.674653247,-121.5097748,119.7302469,10.94213174,0.089870107,0.625795481,0.499883763,0.182495006,0.143112855,0.174508376,0
46,1,1.09E-06,7.61E-10,2.76E-05,0.732005005,0.391840223,8.221143261,0.667828641,-120.9519674,100.2470495,10.01234485,0.80779787,0.901670704,0.530078557,0.170362731,0.15369532,0.145863392,0
47,1,4.03E-08,8.57E-10,2.93E-05,1.045792359,-0.625460842,7.591457648,0.607710818,-122.0163204,91.17727505,9.548679231,0.355100512,0.536130606,0.583458796,0.158287157,0.10474748,0.153506567,0
48,1,-6.15E-07,9.99E-10,3.16E-05,1.332901745,-0.181074247,9.585018377,0.559727404,-120.733285,110.6192107,10.51756677,2.350579349,0.530892262,0.629981528,0.118943092,0.101043032,0.150032348,0
49,1,-3.11E-07,3.39E-10,1.84E-05,20.37774828,3.476020671,13.47222457,0.699452646,-124.0841091,89.30611375,9.450191202,-0.227300744,0.455490024,0.469578244,0.231922833,0.140525957,0.157972965,0
50,1,1.97E-06,7.23E-10,2.69E-05,3.151670688,1.11391777,8.498650782,0.605400431,-121.4649556,104.9594538,10.24497212,1.410357215,0.570981587,0.57325235,0.181255692,0.08582043,0.159671528,0
51,1,-1.10E-06,6.05E-10,2.46E-05,3.166805847,0.820346465,7.622841028,0.641031684,-121.4541117,114.2454306,10.68856541,0.13376936,0.767425488,0.550381287,0.205147128,0.103725678,0.140745907,0
52,1,-3.74E-07,2.98E-10,1.73E-05,0.013608298,-0.609948413,9.798502935,0.623848651,-123.1255786,84.64305322,9.200165934,1.43921832,0.284258492,0.528960013,0.134975265,0.122916407,0.213148315,0
53,1,-4.46E-09,4.34E-10,2.08E-05,0.22847184,-0.396074665,9.597948457,0.638838625,-123.7470811,112.7765316,10.61962954,0.477583504,0.516789043,0.545552298,0.157434964,0.128805446,0.168207292,0
54,1,-7.90E-07,1.09E-10,1.05E-05,0.554726898,0.185592843,13.46645539,0.657196048,-124.9599408,62.05138984,7.877270456,0.76213952,0.610976127,0.450644619,0.103056728,0.193275609,0.253023044,0
55,1,1.24E-06,9.81E-10,3.13E-05,3.532310714,0.934691046,5.309651083,0.56260251,-122.2454593,91.12015025,9.545687521,0.61852759,0.770894505,0.642371941,0.116550824,0.111926362,0.129150872,0
56,1,-1.41E-06,4.07E-10,2.02E-05,5.575904496,1.116730366,10.2893829,0.668236486,-121.4567209,90.93916004,9.5362026,-0.012885678,0.733785047,0.507524307,0.193160367,0.129361664,0.169953661,0
57,1,1.84E-06,9.59E-10,3.10E-05,4.969442911,1.198818885,8.458845214,0.622506701,-119.5273057,105.601831,10.27627515,1.115599217,0.954438554,0.566943712,0.183471348,0.099899764,0.149685176,0
58,1,-1.21E-06,5.68E-10,2.38E-05,-0.238842865,-0.183177072,9.578165829,0.646205327,-119.5295723,95.65669388,9.780424013,0.240597784,0.68584963,0.528148504,0.170164387,0.122597002,0.179090107,0
59,1,1.27E-06,8.43E-10,2.90E-05,4.312531995,1.525402655,8.917722248,0.630095872,-120.0011824,114.608638,10.7055424,0.498399231,0.815804996,0.575857266,0.18925667,0.108221803,0.126664262,0
60,1,-1.26E-06,3.72E-10,1.93E-05,2.002492882,0.989808503,7.904588005,0.611015355,-122.2590262,80.4433379,8.969021011,0.719141023,-0.032649846,0.563411545,0.118410975,0.135817267,0.182360213,0
61,1,4.21E-07,2.78E-10,1.67E-05,5.656295843,1.315892734,7.588648848,0.699097236,-123.9134509,79.07214332,8.89225187,-0.202769535,0.270582138,0.471448512,0.202872656,0.157407286,0.168271545,0
62,1,-6.33E-07,2.93E-10,1.71E-05,3.455610222,0.925250763,8.532121421,0.712789109,-121.9240313,104.8416356,10.23922046,-0.226209082,0.093798843,0.430787325,0.176757342,0.195407296,0.197048037,0
63,1,6.65E-07,2.91E-10,1.71E-05,4.2751042,1.267713185,8.83993385,0.672590184,-120.3304041,85.61349632,9.252756147,0.459103482,0.71207549,0.466537881,0.194018816,0.123736514,0.21570679,0
64,1,-1.78E-07,1.53E-10,1.24E-05,1.345780923,-0.352067249,12.02599741,0.670932402,-123.1419343,58.50684512,7.648976737,0.02327471,0.354750271,0.437248992,0.155425585,0.143991913,0.26333351,0
65,1,-3.02E-07,3.18E-10,1.78E-05,4.754310496,-0.328660142,12.74497436,0.681687235,-118.828318,45.92224124,6.776595106,0.734009922,-0.138412415,0.422119629,0.171612034,0.143385171,0.262883166,0
66,1,-1.42E-06,7.58E-10,2.75E-05,1.484156375,-0.724573556,10.365002,0.646674521,-114.7211144,72.01985893,8.486451492,0.395748117,0.147290922,0.4690796,0.135534588,0.135191121,0.260194691,0
67,1,1.74E-06,2.52E-10,1.59E-05,3.502006568,1.453573395,11.74913214,0.663198377,-122.2109451,68.08995236,8.251663612,0.176426231,0.238363141,0.457746172,0.180776824,0.118259812,0.243217192,0
68,1,-6.85E-07,4.25E-10,2.06E-05,5.931285788,1.326989479,13.06646403,0.664898066,-120.8331013,77.44111444,8.80006332,0.948852613,0.086804012,0.488139811,0.219605811,0.106701609,0.185552769,0
69,1,1.11E-07,3.23E-10,1.80E-05,4.038820814,1.363439491,10.76686588,0.688122022,-124.2879206,95.13879881,9.753911975,-0.248740113,0.376903046,0.477066764,0.187244009,0.152926721,0.182762506,0
70,1,7.93E-07,4.82E-10,2.19E-05,7.940504026,1.400115505,7.246746193,0.65436581,-121.590378,117.0679561,10.81979464,0.76602952,0.347508757,0.527877896,0.197504484,0.11569998,0.15891764,0
71,1,-3.42E-07,9.04E-11,9.51E-06,5.250485425,1.1568706,14.17487363,0.695305704,-122.1638461,55.555866,7.45358075,0.894330661,0.018086946,0.348787087,0.186950371,0.148289659,0.315972883,0
72,1,-1.52E-07,1.44E-10,1.20E-05,10.39926342,1.747144422,13.31657242,0.693961994,-123.3374767,52.74517835,7.26258758,0.556944596,-0.042763709,0.408924453,0.188001609,0.147339207,0.255734731,0
73,1,-9.45E-08,4.17E-10,2.04E-05,6.302358498,-0.05854691,6.675135439,0.617325084,-124.0401435,71.3878517,8.449133192,-0.021637728,0.243657777,0.57355194,0.159864119,0.11087491,0.155709032,0
74,1,-8.71E-08,6.49E-10,2.55E-05,3.887864503,1.094547511,7.347575113,0.670967637,-121.2629239,123.2132829,11.10014788,0.576558954,0.695856756,0.514556744,0.244035641,0.111050797,0.130356818,0
75,1,8.56E-09,8.22E-11,9.07E-06,0.277009537,0.239110763,10.28574063,0.693081605,-124.5933109,53.96664839,7.346199588,0.173808862,0.255726548,0.396620164,0.157887181,0.171770593,0.273722062,0
76,1,4.97E-07,7.15E-10,2.67E-05,3.461460358,0.722972606,8.978875851,0.587637867,-120.3921485,98.54966617,9.927218451,0.789017494,0.682626513,0.605893275,0.151777989,0.095952162,0.146376574,0
77,1,1.43E-07,2.36E-10,1.54E-05,9.671398272,2.212945579,10.65054373,0.668848957,-125.466085,74.66708368,8.641011728,0.676785458,0.003941722,0.490915073,0.191812304,0.126195992,0.19107663,0
78,1,-2.11E-07,7.37E-10,2.71E-05,6.132943625,0.8975025,5.589877483,0.541123302,-124.7581279,69.88987227,8.360016284,1.325096934,0.806242611,0.653702481,0.123087022,0.088376656,0.134833841,0
79,1,1.66E-07,2.63E-10,1.62E-05,1.544458493,0.772278625,9.897010848,0.667368838,-123.1959003,95.19831443,9.756962356,0.342550154,0.458931747,0.4728222,0.192068009,0.119717449,0.215392342,0
80,1,2.64E-07,2.85E-10,1.69E-05,15.54683167,3.116595822,11.35699108,0.649036601,-126.4856442,77.12708263,8.782202607,0.21833298,-0.031370169,0.506070778,0.186298571,0.109359194,0.198271457,0
81,1,-1.89E-07,1.02E-09,3.19E-05,5.728213661,-0.592188246,6.519175808,0.575363749,-122.6426906,96.02413848,9.799190706,0.984097861,0.990273914,0.626093279,0.164274365,0.083779206,0.12585315,0
82,1,-2.69E-07,4.70E-10,2.17E-05,7.404016018,1.665241278,10.614904,0.638764534,-122.0710698,99.76160567,9.988073171,0.154595676,0.795316728,0.545010081,0.152118563,0.132953355,0.169918001,0
83,1,-1.72E-07,2.30E-10,1.52E-05,1.57498645,0.408331266,12.259269,0.679121152,-121.8254664,66.06520848,8.128050718,1.517731743,-0.331472425,0.450679454,0.157766814,0.157288885,0.234264847,0
84,1,2.86E-07,1.10E-09,3.31E-05,2.108759657,0.839408322,5.788554637,0.556402192,-122.6068371,145.4527161,12.06037794,0.869571345,0.469199741,0.64928895,0.151265618,0.082093927,0.117351505,0
85,1,-2.99E-09,6.43E-10,2.54E-05,3.985325119,0.552504482,8.242651147,0.645670941,-120.1457665,121.8211724,11.03726291,0.525441699,0.604622084,0.546312082,0.207788837,0.106343369,0.139555711,0
86,1,-1.36E-06,4.77E-10,2.18E-05,8.664143286,1.258951,11.34827044,0.646104805,-123.7834636,79.07440445,8.89237901,0.133550666,0.551080658,0.509333332,0.15579305,0.127320646,0.207552973,0
87,1,1.32E-06,7.26E-10,2.69E-05,7.836838585,-0.008664061,15.00259236,0.536247019,-119.7284163,110.0416764,10.49007514,1.343666651,0.891227278,0.635309797,0.113382673,0.084201439,0.16710609,0
88,1,-3.95E-07,1.13E-09,3.36E-05,5.253934654,-1.03689966,9.849722839,0.579320094,-119.2874133,103.3841994,10.16780209,0.750795814,0.660506522,0.615203526,0.134514378,0.103213935,0.147068161,0
89,1,1.98E-07,7.15E-10,2.67E-05,1.120153424,0.104485403,8.193396664,0.633990262,-122.4848089,127.0046657,11.26963467,0.667401836,0.543819957,0.560720326,0.183212516,0.110639451,0.145427707,0
90,1,1.81E-07,1.37E-09,3.70E-05,3.755328642,1.443169573,5.826973427,0.558165782,-122.0623517,131.1138113,11.45049393,0.769830988,0.567752847,0.649096313,0.143052848,0.088849069,0.11900177,0
91,2,-1.53E-06,4.34E-10,2.08E-05,0.72851478,0.336507607,12.88777488,0.626076676,-121.1237037,88.54939809,9.410068974,0.961070864,0.288672589,0.543712318,0.135225717,0.130804097,0.190257868,0
92,2,-6.09E-08,2.16E-10,1.47E-05,-0.438357148,0.307461976,11.10106864,0.703702084,-121.6815093,74.07920912,8.606927972,0.345771757,0.544356523,0.384547746,0.173503847,0.173807023,0.268141383,0
93,2,1.91E-07,1.71E-10,1.31E-05,0.15128092,-0.213265185,11.06872939,0.645535836,-122.7109778,73.15810382,8.553251067,0.622753906,0.167013177,0.434039236,0.09569672,0.179193666,0.291070378,0
94,2,2.04E-07,4.89E-10,2.21E-05,1.120409124,0.899073889,13.7581939,0.699547089,-116.81872,68.39037372,8.269847261,0.715077438,0.012094721,0.389261289,0.156274585,0.185396181,0.269067946,0
95,2,-5.36E-07,5.06E-10,2.25E-05,-0.285443511,-0.03560395,13.20234639,0.6684058,-116.8220434,55.27213588,7.434523245,0.801516573,0.336935187,0.39808841,0.161425796,0.130301191,0.310184603,0
96,2,1.04E-06,3.90E-10,1.97E-05,2.185686201,0.802091271,12.58939385,0.64063674,-119.3601071,57.87464225,7.607538514,2.329474499,-0.080221866,0.439583691,0.13910249,0.118215788,0.303098031,0
97,2,-1.11E-06,1.10E-09,3.31E-05,7.884044747,2.40114525,14.40812405,0.606547023,-116.1519649,83.46042143,9.135667542,1.112763228,1.075400688,0.543734552,0.162852922,0.088082937,0.205329589,0
98,2,-1.21E-07,5.06E-10,2.25E-05,-0.34440422,0.396911663,12.36403096,0.612707134,-119.2464093,66.19266772,8.135887642,1.227335796,0.681934077,0.508624619,0.126700407,0.110818314,0.25385666,0
99,2,1.12E-06,3.09E-10,1.76E-05,0.725445395,0.006546861,8.404659154,0.676884278,-123.828331,78.44180138,8.856737627,0.175046498,0.45702405,0.469208699,0.157229888,0.159056239,0.214505174,0
100,2,-9.91E-08,6.47E-10,2.54E-05,1.665967414,0.857637235,9.281841845,0.628328696,-120.4841528,81.45105301,9.025023712,0.585862463,0.751078077,0.541032614,0.145894131,0.12311166,0.189961595,0
101,2,-6.79E-07,1.69E-10,1.30E-05,-0.153629941,-0.028300186,10.32393601,0.721988648,-122.073697,78.7746882,8.875510588,1.289335854,-0.027593377,0.39381715,0.200930417,0.183959194,0.221293239,0
102,2,3.42E-07,2.12E-10,1.45E-05,1.930145103,-0.744260095,9.546735011,0.694496776,-122.9109103,86.24946593,9.287059057,0.077717175,0.611201958,0.43301792,0.14380131,0.199323476,0.223857293,0
103,2,-2.52E-07,4.77E-10,2.18E-05,8.613567372,2.074564633,15.63218082,0.651988036,-116.6303629,60.60565241,7.784963225,0.202252546,0.55359595,0.447883902,0.163296402,0.11452698,0.274292716,0
104,2,-7.31E-07,5.76E-10,2.40E-05,1.475548081,0.872087269,13.20566615,0.623098634,-119.1227349,57.27316374,7.567903523,1.141025315,0.839482354,0.504622232,0.12851801,0.120495367,0.246364391,0
105,2,1.27E-06,7.04E-10,2.65E-05,4.314743169,1.145420406,10.48757409,0.608390229,-117.359954,73.589567,8.578436163,1.35507219,0.798772679,0.542095027,0.12914477,0.113643557,0.215116646,0
106,2,3.21E-07,2.41E-10,1.55E-05,0.470028709,0.143716892,12.94349091,0.657370589,-122.0973138,57.59772318,7.589316384,0.969537285,0.595256707,0.460652544,0.141379675,0.14252251,0.255445271,0
107,2,-4.93E-07,1.34E-10,1.16E-05,0.25288505,-0.118883288,10.4058462,0.696319524,-120.9789117,52.06329511,7.215489942,0.402487747,0.079717727,0.338147099,0.137952318,0.205900148,0.318000436,0
108,2,-9.25E-09,1.88E-10,1.37E-05,5.216481084,0.443777249,14.03123789,0.716524236,-123.4898953,76.55899612,8.749799776,0.525288951,0.255009109,0.346850012,0.212999433,0.164194248,0.275956308,0
109,2,7.51E-09,1.62E-10,1.27E-05,1.49197124,0.078657299,11.42886411,0.701278921,-120.0576017,60.0116338,7.746717614,0.349111043,0.512638143,0.374655064,0.160377834,0.183073307,0.281893795,0
110,2,-2.73E-08,2.67E-10,1.64E-05,4.760608457,1.074831059,14.17089198,0.712004886,-118.187668,63.49401042,7.968312896,0.137846552,0.042379773,0.302784791,0.193628848,0.178242974,0.325343387,0
111,2,1.66E-07,7.40E-10,2.72E-05,9.770572943,2.15668057,15.68672798,0.657276338,-117.5409108,76.32845693,8.736615874,0.632982873,0.610877471,0.460979939,0.176490484,0.114442115,0.248087462,0
112,2,-1.43E-08,2.29E-10,1.51E-05,8.43239429,1.623941527,11.73139793,0.708811372,-121.1128896,105.5663875,10.27455047,0.020766862,0.340836689,0.424706999,0.222346565,0.150056704,0.202889733,0
113,2,-1.07E-07,1.32E-10,1.15E-05,0.321423267,0.489505716,10.02907579,0.705879433,-124.1434945,89.01288822,9.434664182,0.762367951,-0.014081348,0.408270108,0.167571114,0.186917888,0.237240891,0
114,2,-1.86E-07,9.62E-11,9.81E-06,0.754093221,0.389287556,11.68218468,0.718296901,-124.1764186,68.28628637,8.26355168,0.087270468,0.27973627,0.363373707,0.221484626,0.16101249,0.254129176,0
115,2,-5.23E-07,2.27E-10,1.51E-05,6.370147907,1.626210911,10.635597,0.710793019,-124.5139987,96.26912707,9.811683192,-0.035806937,0.274027167,0.441181191,0.186215731,0.183813296,0.188789781,0
116,2,3.51E-07,1.02E-10,1.01E-05,-0.432332919,0.13101262,10.46975025,0.714079859,-125.1386773,80.95091345,8.997272556,-0.01083648,0.252946563,0.371027649,0.188181664,0.178700457,0.262090229,0
117,2,4.50E-08,1.89E-10,1.37E-05,2.01714156,0.472794593,10.80415394,0.72828192,-123.6969406,92.92200658,9.639606143,-0.334126422,0.403938002,0.401113662,0.215503125,0.185397541,0.197985673,0
118,2,4.08E-07,1.60E-10,1.26E-05,0.614094159,0.103720552,10.98626056,0.70407834,-123.7425857,81.0431773,9.00239842,0.356450831,-0.142977899,0.429497055,0.187301841,0.167567766,0.215633339,0
119,2,1.15E-07,1.37E-10,1.17E-05,0.037043144,0.032892755,10.38458856,0.746731249,-125.1813102,110.9786124,10.53463869,-0.299168859,0.338206278,0.359547055,0.251200901,0.197535459,0.191716585,0
120,2,-2.56E-07,1.42E-10,1.19E-05,0.809796429,0.077867368,11.41876609,0.726415803,-121.102679,66.61847311,8.162014035,0.175300428,0.315872413,0.34868802,0.202389035,0.191198247,0.257724699,0
121,2,-1.59E-07,9.05E-11,9.51E-06,0.5050172,0.036050613,12.3794601,0.716780974,-122.4968742,62.90729849,7.931412137,0.24457562,0.153087018,0.338293036,0.176163995,0.198767065,0.286775903,0
122,2,3.91E-07,9.43E-11,9.71E-06,-0.116483702,-0.316584483,13.77334664,0.705587375,-123.8638743,75.76205844,8.704140305,0.538479747,-0.213426105,0.352395212,0.162372197,0.189838747,0.295393843,0
123,2,-4.06E-07,3.12E-10,1.77E-05,5.822891029,1.698027044,10.59119957,0.627027943,-122.0434775,77.81637689,8.82135913,0.347655634,0.632281271,0.522840164,0.141985288,0.118758511,0.216416037,0
124,2,1.38E-06,2.28E-10,1.51E-05,8.49045537,1.947819804,10.07675338,0.676605891,-124.4676485,63.94574531,7.996608363,0.134555729,0.164735557,0.4431765,0.153422651,0.155873617,0.247527232,0
125,2,-1.35E-06,2.57E-10,1.60E-05,0.451061906,0.18632091,8.107781981,0.687839065,-121.6857332,73.35355065,8.564668741,0.78603162,0.305667392,0.460040922,0.186705749,0.148285149,0.204968181,0
126,2,-2.74E-07,2.77E-10,1.66E-05,7.780742576,1.818639329,11.67327164,0.688350522,-121.5373336,71.63145473,8.463536774,4.62E-05,0.64231817,0.456466307,0.178855666,0.154381129,0.210296897,0
127,2,4.71E-07,2.16E-10,1.47E-05,1.025440623,0.682930849,13.13947315,0.716257869,-119.911162,62.26740134,7.890969607,0.310316411,0.073712805,0.347293195,0.184081943,0.187865121,0.280759741,0
128,2,-9.20E-08,1.61E-10,1.27E-05,0.867306454,0.426297116,10.39065185,0.678617258,-123.5006641,76.21664004,8.730214204,0.766016267,0.480543732,0.435573448,0.190323761,0.12788294,0.246219852,0
